time_s,envelope
3.705,0.01011242
3.71,0.038032264
3.715,0.002925843
3.72,-0.009757198
3.725,0.026585594
3.73,0.014558241
3.735,0.034545764
3.74,0.08282469
3.745,0.08545254
3.75,0.015503764
3.755,0.04076515
3.76,0.04383123
3.765,0.0531718
3.77,0.03571585
3.775,0.15497367
3.78,0.1448899
3.785,0.12411751
3.79,0.14466538
3.795,0.16215847
3.8,0.08734849
3.805,0.08241941
3.81,0.13886268
3.815,0.11120883
3.82,0.10850786
3.825,-0.021028697
3.83,0.07774834
3.835,0.032388
3.84,0.039133623
3.845,0.04385911
3.85,-0.012871444
3.855,0.011659831
3.86,0.019478008
3.865,0.024112865
3.87,0.011598632
3.875,0.03454894
3.88,0.12208094
3.885,-0.004369512
3.89,0.060374483
3.895,0.11056188
3.9,0.084748656
3.905,0.074576706
3.91,0.02464047
3.915,0.17272554
3.92,0.07684198
3.925,0.09330429
3.93,0.10816917
3.935,0.113910824
3.94,0.17525877
3.945,0.120213315
3.95,0.07069665
3.955,-0.03770379
3.96,0.02944611
3.965,0.21680598
3.97,0.015174717
3.975,0.017877564
3.98,-0.05191972
3.985,0.075684875
3.99,-0.01793442
3.995,0.0043627173
4.0,-0.014733784
4.005,0.06967096
4.01,-0.015384294
4.015,0.01861474
4.02,0.03329408
4.025,0.06495321
4.03,-0.024625309
4.035,0.0787867
4.04,0.06414594
4.045,0.05220872
4.05,0.05762002
4.055,0.06962064
4.06,0.012189269
4.065,0.006572321
4.07,0.10835567
4.075,0.04246983
4.08,0.02556622
4.085,0.08943775
4.09,0.031831905
4.095,0.011431634
4.1,0.052614674
4.105,-0.056888156
4.11,0.052973315
4.115,0.09428102
4.12,0.031658888
4.125,0.11118826
4.13,0.07211408
4.135,0.17472939
4.14,0.10867302
4.145,0.13393731
4.15,0.06764077
4.155,0.10607603
4.16,0.07999833
4.165,0.21820728
4.17,0.16565724
4.175,0.08777121
4.18,-0.015365355
4.185,0.14204161
4.19,0.05305724
4.195,0.064958066
4.2,0.10610093
4.205,0.02268356
4.21,-0.02821479
4.215,0.017600551
4.22,0.0098961
4.225,0.019817367
4.23,-0.03443159
4.235,-0.019791052
4.24,-0.04057657
4.245,0.08150399
4.25,0.03379312
4.255,0.073649496
4.26,0.058272764
4.265,-0.0068323687
4.27,0.1414241
4.275,0.088040456
4.28,0.042879313
4.285,0.063893005
4.29,0.0914184
4.295,0.20140226
4.3,0.07835227
4.305,0.040673822
4.31,0.054155424
4.315,0.1746368
4.32,0.123698756
4.325,0.0825149
4.33,0.052212685
4.335,0.022864163
4.34,0.105663374
4.345,0.09733154
4.35,-0.025237054
4.355,0.034470856
4.36,-0.01873874
4.365,0.04819061
4.37,0.03873898
4.375,-0.034463055
4.38,-0.013237901
4.385,-0.010104105
4.39,-9.24319e-05
4.395,0.041490287
4.4,-0.03503091
4.405,0.016625136
4.41,0.05433373
4.415,-0.03984598
4.42,-0.036750764
4.425,0.09101635
4.43,0.005460188
4.435,-0.005343497
4.44,0.10846807
4.445,0.009966791
4.45,-0.0009753257
4.455,0.073331445
4.46,0.06614721
4.465,-0.0054369196
4.47,0.094119534
4.475,-0.0056866333
4.48,0.045630425
4.485,0.040866002
4.49,0.039245144
4.495,0.07291478
4.5,0.07766773
4.505,0.04722652
4.51,0.05540611
4.515,0.06659293
4.52,-0.00055518746
4.525,0.123272285
4.53,0.15633212
4.535,0.14548282
4.54,0.08232035
4.545,0.058943853
4.55,-0.012301438
4.555,0.23745726
4.56,0.05654888
4.565,0.050545737
4.57,0.054758787
4.575,0.019713968
4.58,0.025504157
4.585,-0.0027421713
4.59,-0.018963628
4.595,0.0326903
4.6,0.071848705
4.605,-0.008214384
4.61,0.14245938
4.615,0.027850911
4.62,0.014994442
4.625,0.11878386
4.63,0.027278557
4.635,0.05057943
4.64,0.0998608
4.645,0.020248935
4.65,0.22137679
4.655,0.084002
4.66,0.076924846
4.665,0.19462223
4.67,0.0977782
4.675,0.26712108
4.68,0.04550314
4.685,0.19139765
4.69,0.07760793
4.695,0.15460552
4.7,0.05036068
4.705,0.105524614
4.71,0.09115842
4.715,0.03251046
4.72,-0.01231014
4.725,0.0635315
4.73,0.02566737
4.735,0.09216963
4.74,-0.06146244
4.745,0.05602978
4.75,0.007926166
4.755,0.10314542
4.76,0.022205293
4.765,0.00659886
4.77,0.0012244731
4.775,0.062290654
4.78,-0.0025206357
4.785,0.0370415
4.79,0.018617183
4.795,-0.004428968
4.8,-0.005768493
4.805,0.092662394
4.81,-0.020108767
4.815,0.014207572
4.82,0.11914569
4.825,-0.0010226518
4.83,0.03275633
4.835,0.110887915
4.84,0.039792106
4.845,0.0603265
4.85,0.10483754
4.855,0.053782627
4.86,0.051028877
4.865,0.115225926
4.87,0.015547603
4.875,0.18028347
4.88,0.03825465
4.885,0.057274327
4.89,0.0653335
4.895,0.13903038
4.9,0.09108251
4.905,0.19487728
4.91,0.03700441
4.915,0.008008957
4.92,0.14819203
4.925,0.037590325
4.93,0.014618605
4.935,0.09759806
4.94,0.057130784
4.945,0.015208662
4.95,0.017767668
4.955,0.003550157
4.96,-0.014912866
4.965,0.14286269
4.97,0.056598768
4.975,0.13646124
4.98,0.08556859
4.985,0.108831674
4.99,0.13199423
4.995,-0.036484532
5.0,0.031749576
5.005,0.090278596
5.01,0.012513444
5.015,-0.014123142
5.02,0.048682913
5.025,-0.035297148
5.03,0.08909519
5.035,0.05416791
5.04,0.058899954
5.045,0.10838294
5.05,0.008991569
5.055,0.1873119
5.06,-0.017518729
5.065,0.13116999
5.07,0.047056362
5.075,0.09729962
5.08,0.05026634
5.085,0.09568584
